autor,estilo
Musical Youth,uk reggae   ☷   ⓘ
Jonas Blue,"tropical house, pop, pop dance, uk dance, dance pop, edm   ☷   ⓘ"
Ufo,"hard rock, album rock, rock, metal, blues rock, classic rock, glam metal, psychedelic rock   ☷   ⓘ"
 Hypeman,"Sorry, that one doesn't seem to be on any of these maps yet."
Bryson Tiller,"kentucky hip hop, rap, r&b, trap, pop   ☷   ⓘ"
 Becky Hill,"uk dance, pop house, pop dance, tropical house, dance pop, pop, edm   ☷   ⓘ"
 Seezyn,cincinnati rap   ☷   ⓘ
grandson,"modern alternative rock, modern rock, rock   ☷   ⓘ"
 Dj Chris No Beat,sertanejo pop   ☷   ⓘ
Cosculluela,"reggaeton, latin hip hop, trap latino, reggaeton flow   ☷   ⓘ"
Vicente Fern,"Sorry, that one doesn't seem to be on any of these maps yet."
 Stephanie Beatriz,hollywood   ☷   ⓘ
 Sonus,"Sorry, that one doesn't seem to be on any of these maps yet."
 Calum Scott,"pop, neo mellow   ☷   ⓘ"
Fujii Kaze,japanese teen pop   ☷   ⓘ
 Chris Nolan,"Related artists in: italian hip hop, trap italiana, italian indie pop, rap genovese   ☷   ⓘ"
 Dave,uk hip hop   ☷   ⓘ
La La Land Cast,"Related artists in: hollywood, soundtrack, orchestral soundtrack, dance pop, r&b, show tunes, urban contemporary   ☷   ⓘ"
 Bausa,german hip hop   ☷   ⓘ
Lauren Jauregui,"post-teen pop, r&b, pop   ☷   ⓘ"
Tedua,"indie liguria, rap genovese, trap italiana, italian hip hop   ☷   ⓘ"
MERO,german hip hop   ☷   ⓘ
Chino ,tamaulipas rap   ☷   ⓘ
 KSI,uk hip hop   ☷   ⓘ
 Sons,"belgian indie rock, belgian indie, dutch rock   ☷   ⓘ"
TREASURE,k-pop   ☷   ⓘ
 Dimartino,"indie siciliano, italian alternative, italian indie pop   ☷   ⓘ"
lokknine,"Sorry, that one doesn't seem to be on any of these maps yet."
 Strassenbande,"Sorry, that one doesn't seem to be on any of these maps yet."
Diane Guerrero,"Related artists in: hollywood, pop, show tunes   ☷   ⓘ"
 Taylor Bennett,"chicago rap, lgbtq+ hip hop, drill   ☷   ⓘ"
 Bantu,zimdancehall   ☷   ⓘ
 Savage Ga,"Sorry, that one doesn't seem to be on any of these maps yet."
Martin Garrix,"dutch edm, pop dance, edm, pop, tropical house, progressive house, dance pop, electro house   ☷   ⓘ"
 Bassy,"Related artists in: doujin, irish underground rap, j-rap   ☷   ⓘ"
 Jos,"Sorry, that one doesn't seem to be on any of these maps yet."
Elvis Presley,"rockabilly, rock-and-roll   ☷   ⓘ"
 Swanson Quartet,"string quartet, classical performance, classical   ☷   ⓘ"
ngara,"Sorry, that one doesn't seem to be on any of these maps yet."
Studio Killers,"Related artists in: escape room, alt z, indie pop, otacore, art pop, dance pop, dark pop, electro swing, electropop, nu jazz   ☷   ⓘ"
ngela Aguilar,"tongan pop, pacific islands pop   ☷   ⓘ"
 DJ Gege,"Related artists in: funk carioca, brega funk, funk consciente, rap paraguayo   ☷   ⓘ"
 Black Coffee,"south african pop dance, south african house, deep house, afro house   ☷   ⓘ"
 Mabel,"dance pop, uk pop, pop, pop dance, tropical house, post-teen pop, edm   ☷   ⓘ"
Metallica,"thrash metal, old school thrash, metal, rock, hard rock   ☷   ⓘ"
 Gurinder Gill,punjabi hip hop   ☷   ⓘ
Kid Cudi,"ohio hip hop, rap, hip hop   ☷   ⓘ"
OneRepublic,"piano rock, pop   ☷   ⓘ"
 Mc Pedrinho,"funk carioca, funk paulista, funk ostentacao, funk mtg   ☷   ⓘ"
 YTB Trench,"Related artists in: atl trap, philly rap   ☷   ⓘ"
 Post Malone,"dfw rap, melodic rap, rap   ☷   ⓘ"
 Miguel,"r&b, urban contemporary, pop, dance pop, hip hop   ☷   ⓘ"
Kiiara,"electropop, indie poptimism, alt z, pop, post-teen pop, dance pop   ☷   ⓘ"
 Sia,"pop, australian dance, australian pop, dance pop   ☷   ⓘ"
X,"early us punk, punk, post-punk, hardcore punk, alternative rock, punk blues, pub rock, new wave   ☷   ⓘ"
Mabel,"dance pop, uk pop, pop, pop dance, tropical house, post-teen pop, edm   ☷   ⓘ"
Vampire Weekend,"baroque pop, modern rock, indie rock, rock   ☷   ⓘ"
 Villano Antillano,rap boricua   ☷   ⓘ
ta,"Sorry, that one doesn't seem to be on any of these maps yet."
Mora,trap latino   ☷   ⓘ
 Coldplay,"permanent wave, pop   ☷   ⓘ"
Dave,uk hip hop   ☷   ⓘ
Ra,"Sorry, that one doesn't seem to be on any of these maps yet."
 Amitabh Bhattacharya,modern bollywood   ☷   ⓘ
 Ava Max,"pop, dance pop   ☷   ⓘ"
A Boogie Wit da Hoodie,"melodic rap, rap, trap   ☷   ⓘ"
 WATT,modern alternative rock   ☷   ⓘ
 Bizarrap,"argentine hip hop, pop venezolano, trap argentino   ☷   ⓘ"
Sam Ryder,uk pop   ☷   ⓘ
 Usher,"south carolina hip hop, dance pop, atl hip hop, urban contemporary, contemporary r&b, r&b, pop   ☷   ⓘ"
 OmenXIII,"dark trap, underground hip hop, emo rap, viral rap   ☷   ⓘ"
Balming Tiger,k-rap   ☷   ⓘ
Justin Timberlake,"dance pop, pop   ☷   ⓘ"
 Francesco Yates,canadian pop   ☷   ⓘ
Headie One,uk hip hop   ☷   ⓘ
 Nova Twins,"black punk, uk diy punk   ☷   ⓘ"
Lauren Spencer Smith,"gen z singer-songwriter, pop, alt z, post-teen pop   ☷   ⓘ"
 David Bowie,"glam rock, permanent wave, rock, classic rock, art rock   ☷   ⓘ"
 Nine,hardcore hip hop   ☷   ⓘ
 Zayion McCall,"Related artists in: hip hop, rap, pop rap, southern hip hop, trap, atl hip hop, alternative hip hop, dirty south rap, east coast hip hop, gangster rap   ☷   ⓘ"
Judy Garland,"torch song, adult standards, lounge, vocal jazz, hollywood   ☷   ⓘ"
 Fridayy,"Related artists in: trap soul, philly rap, canadian contemporary r&b, canadian hip hop, indie r&b, nyc rap, pop r&b, trap, uk contemporary r&b   ☷   ⓘ"
 Lennox,"Related artists in: trance, uplifting trance, deep uplifting trance, dutch trance, progressive house, progressive trance, progressive uplifting trance   ☷   ⓘ"
 John Scott Trotter ,Related artists in: space age pop   ☷   ⓘ
Sfera Ebbasta,"trap italiana, italian pop, italian hip hop   ☷   ⓘ"
 Ryan Tedder,"Related artists in: neo mellow, pop rock, acoustic pop, idol, post-teen pop, viral pop   ☷   ⓘ"
 John Williams,"orchestral soundtrack, soundtrack   ☷   ⓘ"
salem ilese,modern indie pop   ☷   ⓘ
 Kodie Shane,"trap queen, atl hip hop   ☷   ⓘ"
 Ni,"Sorry, that one doesn't seem to be on any of these maps yet."
Daryl Hall ,"soft rock, new wave pop   ☷   ⓘ"
Trio Vegabaje,"bolero mexicano, bolero   ☷   ⓘ"
Fall Out Boy,"emo, modern rock   ☷   ⓘ"
Bomba Est,bomba y plena   ☷   ⓘ
 Dido,pop rock   ☷   ⓘ
 Fetty Wap,"rap, new jersey rap, pop rap, trap, southern hip hop, dance pop, pop   ☷   ⓘ"
 Travis Scott,"rap, slap house   ☷   ⓘ"
 Sampha,indie soul   ☷   ⓘ
 Foushe,"Sorry, that one doesn't seem to be on any of these maps yet."
 MadMan,italian hip hop   ☷   ⓘ
 Drake,"toronto rap, canadian pop, canadian hip hop, rap, hip hop   ☷   ⓘ"
 Clairo,"bedroom pop, indie pop, pop   ☷   ⓘ"
o de Elche,"Sorry, that one doesn't seem to be on any of these maps yet."
 Pickett,"Related artists in: classic soul, soul, southern soul, funk, memphis soul, brill building pop, soul blues   ☷   ⓘ"
 Arc,"Sorry, that one doesn't seem to be on any of these maps yet."
Flume,"australian electropop, downtempo, australian dance, australian indie, edm   ☷   ⓘ"
 Boyz II Men,"boy band, new jack swing, contemporary r&b, r&b, urban contemporary   ☷   ⓘ"
Lele Pons,"viral pop, latin pop   ☷   ⓘ"
Sara Kays,"gen z singer-songwriter, modern indie pop, alt z, indie pop, pop   ☷   ⓘ"
James Brown,"soul, funk   ☷   ⓘ"
Tion Wayne,london rap   ☷   ⓘ
 Krono,"Related artists in: deep tropical house, tropical house, new french touch   ☷   ⓘ"
 SAINt JHN,"melodic rap, slap house, rap, trap   ☷   ⓘ"
 Mae Muller,"uk pop, uk contemporary r&b   ☷   ⓘ"
 Lous and The Yakuza,belgian pop   ☷   ⓘ
 Noonie Bao,swedish indie pop   ☷   ⓘ
Nano,"j-pixie, anime, j-poprock   ☷   ⓘ"
 Maraisa,"Sorry, that one doesn't seem to be on any of these maps yet."
 Jehnny Beth,"Related artists in: chamber psych, uk post-punk revival, english indie rock, art pop, garage psych, indie rock, alternative dance, brighton indie, modern alternative rock   ☷   ⓘ"
 Sof,"Sorry, that one doesn't seem to be on any of these maps yet."
 Kimbra,"nz pop, bergen indie, electropop   ☷   ⓘ"
 Sosa Geek,brooklyn drill   ☷   ⓘ
 Paulo Londra,"argentine hip hop, trap argentino, trap latino   ☷   ⓘ"
 Xavier Naidoo,german pop   ☷   ⓘ
 Snow,"canadian old school hip hop, reggae fusion   ☷   ⓘ"
Sebastian Yatra,"reggaeton colombiano, colombian pop   ☷   ⓘ"
 Ari Lennox,"alternative r&b, dmv rap, r&b, neo soul, urban contemporary, rap, pop   ☷   ⓘ"
 Jess Glynne,"uk pop, pop, dance pop, tropical house, post-teen pop, pop dance   ☷   ⓘ"
Ashnikko,"escape room, pop, electropop, dance pop   ☷   ⓘ"
Malik Montana,"polish trap, polish hip hop   ☷   ⓘ"
Aaron Neville,soul   ☷   ⓘ
 Yung Bans,"vapor trap, plugg, underground hip hop, trap, viral rap, rap   ☷   ⓘ"
 Juliano,"Related artists in: austrian hip hop, galway indie, jazz boom bap   ☷   ⓘ"
Cornelia Jakobs,swedish pop   ☷   ⓘ
Xand Avi,"Sorry, that one doesn't seem to be on any of these maps yet."
 Kin,"Related artists in: thai idol, thai viral pop, thai worship   ☷   ⓘ"
Jerry Di,"pop venezolano, pop reggaeton, trap latino, cubaton, reggaeton, dominican pop   ☷   ⓘ"
Donny Hathaway,"soul, chicago soul, funk, neo soul, classic soul, quiet storm   ☷   ⓘ"
Colapesce,"indie siciliano, italian alternative, italian indie pop   ☷   ⓘ"
 Tanishk Bagchi,"desi pop, modern bollywood   ☷   ⓘ"
 Martin Jensen,"tropical house, pop dance, danish electronic, edm, dance pop, pop edm, electro house, pop   ☷   ⓘ"
Fernando ,"Sorry, that one doesn't seem to be on any of these maps yet."
Tiago PZK,"trap argentino, trap latino   ☷   ⓘ"
 Vulgo FK,"funk carioca, funk ostentacao   ☷   ⓘ"
Azet,"albanian hip hop, german hip hop   ☷   ⓘ"
 Mc RF,"Sorry, that one doesn't seem to be on any of these maps yet."
Mc Livinho,"funk carioca, funk paulista, funk ostentacao, funk mtg   ☷   ⓘ"
 Intense,"punjabi pop, desi hip hop, desi pop   ☷   ⓘ"
 Tems,"afro r&b, alte, r&b, nigerian pop   ☷   ⓘ"
 RAF Camora,german hip hop   ☷   ⓘ
Wizkid,"nigerian hip hop, azonto, afro dancehall, nigerian pop, afropop   ☷   ⓘ"
 Os Hawaianos,"funk carioca, funk ostentacao   ☷   ⓘ"
Niack,"funk carioca, funk mtg   ☷   ⓘ"
Lunay,"trap latino, reggaeton, reggaeton flow, latin hip hop, latin pop   ☷   ⓘ"
 Dzeko,"canadian electronic, pop edm, electro house   ☷   ⓘ"
 Dilsinho,"pagode novo, pagode   ☷   ⓘ"
SOB X RBE,"cali rap, viral rap, vapor trap, trap   ☷   ⓘ"
 Don Toliver,"rap, trap, pop   ☷   ⓘ"
 Tom Gregory,uk pop   ☷   ⓘ
 HAIM,"metropopolis, indie pop   ☷   ⓘ"
 Benjamin Ingrosso,swedish pop   ☷   ⓘ
Peter Fox,german pop   ☷   ⓘ
 Maria Becerra,"pop argentino, latin pop   ☷   ⓘ"
RM,"k-rap, pop   ☷   ⓘ"
Boris,"japanese psychedelic rock, japanese psychedelic, drone metal, japanese post-rock, noise rock, gaian doom, drone, post-metal, experimental, sludge metal   ☷   ⓘ"
Burak Yeter,electro house   ☷   ⓘ
 JEON SOYEON,k-pop   ☷   ⓘ
 El Chacal,cubaton   ☷   ⓘ
 Bebe Rexha,"pop, dance pop, post-teen pop, edm   ☷   ⓘ"
 Marracash,"rap napoletano, italian hip hop, italian underground hip hop   ☷   ⓘ"
 John Newman,dance pop   ☷   ⓘ
 Kelela,"experimental r&b, afrofuturism, alternative r&b, escape room, art pop, indie soul, electropop, indie r&b, pop   ☷   ⓘ"
 Nipsey Hussle,"rap, conscious hip hop, trap, southern hip hop, hip hop, gangster rap, pop rap   ☷   ⓘ"
 Flo Rida,"miami hip hop, dance pop, pop rap, pop, edm   ☷   ⓘ"
 Cosculluela,"reggaeton, latin hip hop, trap latino, reggaeton flow   ☷   ⓘ"
 HA SUNG WOON,"k-pop, korean pop   ☷   ⓘ"
Baby Keem,"rap, hip hop   ☷   ⓘ"
Polim,chinese melodic rap   ☷   ⓘ
Brenda Lee,"adult standards, brill building pop   ☷   ⓘ"
 Shake,techno   ☷   ⓘ
 The Fontane Sisters,"deep adult standards, vocal harmony group   ☷   ⓘ"
Aerosmith,"rock, hard rock, album rock, classic rock   ☷   ⓘ"
Maroon ,german metalcore   ☷   ⓘ
 Lil Xan,emo rap   ☷   ⓘ
Jay Rock,"rap, conscious hip hop, hip hop, southern hip hop, trap, underground hip hop, pop rap, gangster rap   ☷   ⓘ"
 Tainy,"trap latino, reggaeton, latin hip hop, pop reggaeton, reggaeton flow, latin pop   ☷   ⓘ"
Yo Ma,"Sorry, that one doesn't seem to be on any of these maps yet."
 ILOVEMAKONNEN,"lgbtq+ hip hop, atl hip hop, trap, underground hip hop   ☷   ⓘ"
Linkin Park,"rap metal, post-grunge, nu metal, alternative metal   ☷   ⓘ"
 DJ ESCOBAR,funk mtg   ☷   ⓘ
Kawe,"funk ostentacao, brazilian hip hop   ☷   ⓘ"
 Khaled,"classic arab pop, rai   ☷   ⓘ"
Kris Kross Amsterdam,"dutch house, dutch pop   ☷   ⓘ"
 Orietta Berti,classic italian pop   ☷   ⓘ
Randy,"reggaeton, trap latino, reggaeton flow, latin hip hop, perreo   ☷   ⓘ"
 Bipolar Sunshine,gauze pop   ☷   ⓘ
Kamferdrops,"Related artists in: swedish pop, europop, classic swedish pop, eurovision, swedish idol pop, melodipop   ☷   ⓘ"
 salem ilese,modern indie pop   ☷   ⓘ
 Afrojack,"edm, pop dance, electro house, progressive electro house, big room, dutch house, tropical house, dance pop, progressive house, pop rap   ☷   ⓘ"
Reik,"latin arena pop, latin pop, mexican pop   ☷   ⓘ"
 DJ Ivis,"piseiro, arrocha   ☷   ⓘ"
 KEVVO,"trap latino, reggaeton flow, perreo, reggaeton   ☷   ⓘ"
MC Zaquin,"funk bh, funk carioca, funk mtg   ☷   ⓘ"
Calibre ,"jazzy dnb, drumfunk, drum and bass, liquid funk, uk dnb   ☷   ⓘ"
Andy Grammer,"neo mellow, pop, pop rock, post-teen pop, pop rap, dance pop   ☷   ⓘ"
Los ,"Sorry, that one doesn't seem to be on any of these maps yet."
 Meghan Trainor,"pop, dance pop, hip pop, post-teen pop   ☷   ⓘ"
cia,"Sorry, that one doesn't seem to be on any of these maps yet."
ndez,"Related artists in: detroit hip hop, flint hip hop, detroit trap   ☷   ⓘ"
 Bugsey,"Related artists in: uk hip hop, grime, afroswing, pop, rap   ☷   ⓘ"
 Rah Swish,"nyc rap, new york drill, brooklyn drill   ☷   ⓘ"
Mari Fernandez,"arrochadeira, arrocha   ☷   ⓘ"
Humberto ,"Related artists in: francoton, pop urbaine, tuna estudiantil   ☷   ⓘ"
Kanye West,"chicago rap, rap   ☷   ⓘ"
LACK,"Sorry, that one doesn't seem to be on any of these maps yet."
 Trey Songz,"r&b, urban contemporary, dance pop, southern hip hop, pop, trap   ☷   ⓘ"
 Tame Impala,"australian psych, neo-psychedelic   ☷   ⓘ"
 Tyga,"pop rap, rap, southern hip hop, trap, dance pop, hip hop   ☷   ⓘ"
El Profesor,house   ☷   ⓘ
 Monet,"Related artists in: freestyle, deep freestyle   ☷   ⓘ"
 Menor Nico,"Related artists in: forro, arrocha, batidao romantico, brega funk, funk carioca, arrochadeira, brega romantico, piseiro   ☷   ⓘ"
 OIK,"Related artists in: brazilian hip hop, trap brasileiro, funk carioca, trap carioca, pop rap brasileiro   ☷   ⓘ"
 beabadoobee,"indie pop, bedroom pop, bubblegrunge, pop   ☷   ⓘ"
Rosa Linn,alt z   ☷   ⓘ
NEIKED,"scandipop, tropical house, pop, dance pop, pop dance, edm   ☷   ⓘ"
Glades,"indie poptimism, electropop, metropopolis, indie electropop, alt z   ☷   ⓘ"
 Lil Zey,"turkce kadin rap, turkish trap   ☷   ⓘ"
 Louis Theroux,"Sorry, that one doesn't seem to be on any of these maps yet."
Nio Garcia,"trap latino, reggaeton, latin hip hop   ☷   ⓘ"
Hotel Ugly,"Related artists in: indie pop, bedroom pop, indie garage rock, indie r&b, aesthetic rap, alternative r&b   ☷   ⓘ"
Galantis,"pop dance, tropical house, edm, dance pop, pop, electro house   ☷   ⓘ"
Rita Ora,"dance pop, pop, post-teen pop, uk pop, tropical house, edm, electropop, pop rap   ☷   ⓘ"
 Nickoog Clk,"mambo chileno, urbano chileno   ☷   ⓘ"
Nicki Minaj,"queens hip hop, pop, dance pop, hip pop, rap   ☷   ⓘ"
 Gucci Mane,"rap, trap, atl hip hop, southern hip hop, pop rap, dirty south rap, gangster rap, hip hop   ☷   ⓘ"
Pharrell Williams,"hip hop, pop, pop rap   ☷   ⓘ"
 Server Uraz,"turkish trap, turkish hip hop   ☷   ⓘ"
 Stevie Nicks,"heartland rock, mellow gold, album rock, rock   ☷   ⓘ"
 Brandy,"r&b, urban contemporary, hip pop, contemporary r&b, neo soul, dance pop, hip hop   ☷   ⓘ"
 The Game,"rap, hip hop, gangster rap, pop rap, southern hip hop   ☷   ⓘ"
 Calvin Harris,"uk dance, pop, house, progressive house, dance pop, edm, electro house   ☷   ⓘ"
Mc Don Juan,"batidao romantico, funk carioca, funk paulista, arrocha, funk ostentacao   ☷   ⓘ"
 Justin Bieber,"canadian pop, pop   ☷   ⓘ"
 Hugh Jackman,"hollywood, show tunes   ☷   ⓘ"
 D,"Sorry, that one doesn't seem to be on any of these maps yet."
 Pop Smoke,brooklyn drill   ☷   ⓘ
WATTS,"Related artists in: electropop, pop, alt z, chill pop, indie poptimism, la pop, chill r&b, hopebeat, vapor soul   ☷   ⓘ"
Julia Michaels,"pop, post-teen pop, dance pop, alt z, electropop   ☷   ⓘ"
Tanishk Bagchi,"desi pop, modern bollywood   ☷   ⓘ"
Bonez MC,"hamburg hip hop, german hip hop   ☷   ⓘ"
 Playboi Carti,"plugg, pluggnb, atl hip hop, rap, hip hop   ☷   ⓘ"
 Shiva,"trap italiana, italian hip hop   ☷   ⓘ"
j,"Sorry, that one doesn't seem to be on any of these maps yet."
 DNCE,"pop, dance pop, post-teen pop, edm   ☷   ⓘ"
Nat King Cole,adult standards   ☷   ⓘ
MC Teteu,"rave funk, funk carioca, funk mtg, funk ostentacao   ☷   ⓘ"
Eartha Kitt,"torch song, adult standards, lounge, vocal jazz   ☷   ⓘ"
 Emani ,Related artists in: modern reggae   ☷   ⓘ
Martin Jensen,"tropical house, pop dance, danish electronic, edm, dance pop, pop edm, electro house, pop   ☷   ⓘ"
 Izi,"indie liguria, rap genovese, trap italiana, italian hip hop   ☷   ⓘ"
True Damage,k-rap   ☷   ⓘ
John Amplificado,"arrocha, sertanejo pop, forro   ☷   ⓘ"
 Cameron Seely,movie tunes   ☷   ⓘ
Don Omar,"puerto rican pop, reggaeton, latin hip hop, trap latino   ☷   ⓘ"
Arc,"Sorry, that one doesn't seem to be on any of these maps yet."
Los Legendarios,"reggaeton flow, trap latino, reggaeton   ☷   ⓘ"
 Ty Dolla ,"Sorry, that one doesn't seem to be on any of these maps yet."
 ABRA,"alternative r&b, escape room, electropop   ☷   ⓘ"
 Nathaniel Alford,"Sorry, that one doesn't seem to be on any of these maps yet."
Brett Eldredge,"modern country rock, contemporary country, country road, country   ☷   ⓘ"
Big Shaq,london rap   ☷   ⓘ
Ruth B,"Sorry, that one doesn't seem to be on any of these maps yet."
 Project Pat,"crunk, dirty south rap, southern hip hop, memphis hip hop, gangster rap, trap, rap, hip hop   ☷   ⓘ"
 Greg Willen,trap italiana   ☷   ⓘ
 French Montana,"rap, trap, pop rap, southern hip hop, hip hop, gangster rap   ☷   ⓘ"
 Hallie Coggins,"Sorry, that one doesn't seem to be on any of these maps yet."
 PEDRO SAMPAIO,funk carioca   ☷   ⓘ
Chris Cornell,"grunge, rock, alternative rock, alternative metal   ☷   ⓘ"
Grupo Firme,"sierreno, norteno, nueva musica mexicana, musica mexicana   ☷   ⓘ"
 Jay Electronica,"psychedelic hip hop, alternative hip hop, conscious hip hop, hip hop, southern hip hop, underground hip hop, rap   ☷   ⓘ"
 Sokrat St,turkish hip hop   ☷   ⓘ
Eden Mu,"Sorry, that one doesn't seem to be on any of these maps yet."
 Mara Sattei,"italian pop, italian hip hop   ☷   ⓘ"
 Wizkid,"nigerian hip hop, azonto, afro dancehall, nigerian pop, afropop   ☷   ⓘ"
Manu Gavassi,"pop nacional, funk carioca, post-teen pop, nova mpb, pop   ☷   ⓘ"
HRVY,"pop, tropical house, post-teen pop, dance pop, pop dance   ☷   ⓘ"
Zedd,"pop, dance pop, edm, pop dance, complextro, german techno, tropical house, post-teen pop, pop rap, electropop   ☷   ⓘ"
 TINI,"pop argentino, latin pop   ☷   ⓘ"
ScHoolboy Q,"rap, hip hop, pop rap, trap, southern hip hop, underground hip hop, gangster rap   ☷   ⓘ"
Sech,"trap latino, reggaeton, panamanian pop   ☷   ⓘ"
Stargate,norwegian pop   ☷   ⓘ
 Lute,"north carolina hip hop, underground hip hop   ☷   ⓘ"
 Georgia Ku,uk pop   ☷   ⓘ
Yo Gotti,"trap, southern hip hop, tennessee hip hop, rap, pop rap, dirty south rap, gangster rap, memphis hip hop, hip hop   ☷   ⓘ"
IVE,k-pop girl group   ☷   ⓘ
 Ang,"Sorry, that one doesn't seem to be on any of these maps yet."
Swae Lee,"melodic rap, trap   ☷   ⓘ"
 Sly Pyper,"Sorry, that one doesn't seem to be on any of these maps yet."
 XXXTENTACION,"miami hip hop, emo rap   ☷   ⓘ"
AK AUSSERKONTROLLE,german hip hop   ☷   ⓘ
Brien,"Sorry, that one doesn't seem to be on any of these maps yet."
Feid,"reggaeton colombiano, colombian pop, pop reggaeton, trap latino   ☷   ⓘ"
MC Levin,"funk carioca, funk mtg   ☷   ⓘ"
Electric Light Orchestra,"glam rock, beatlesque, classic rock, album rock, art rock, rock, soft rock, mellow gold, symphonic rock   ☷   ⓘ"
 Pyrex,"trap italiana, italian hip hop   ☷   ⓘ"
Audioslave,"supergroup, rock, permanent wave, alternative metal, post-grunge, nu metal, alternative rock   ☷   ⓘ"
 Wind ,"classic schlager, schlager, volksmusik   ☷   ⓘ"
Cris Mj,"mambo chileno, urbano chileno   ☷   ⓘ"
 Ben Burgess,"Related artists in: country pop, texas country, contemporary country, red dirt, roots americana   ☷   ⓘ"
Lord Huron,"stomp and holler, indie folk   ☷   ⓘ"
a,"Sorry, that one doesn't seem to be on any of these maps yet."
Conan Gray,"bedroom pop, pop   ☷   ⓘ"
 Amanda Shires,"new americana, alternative country, roots rock, folk   ☷   ⓘ"
Chase Atlantic,pop   ☷   ⓘ
 Noyz Narcos,"italian hip hop, italian underground hip hop   ☷   ⓘ"
 Jack,"Sorry, that one doesn't seem to be on any of these maps yet."
 Reik,"latin arena pop, latin pop, mexican pop   ☷   ⓘ"
MC WM,"funk carioca, funk mtg   ☷   ⓘ"
line Dion,"Sorry, that one doesn't seem to be on any of these maps yet."
 JT,"Related artists in: rap, hip hop, trap, pop rap, dance pop, southern hip hop, pop, r&b, atl hip hop, hip pop   ☷   ⓘ"
Jamule,"german hip hop, german trap   ☷   ⓘ"
Migrantes,"cumbia pop, previa   ☷   ⓘ"
Outkast,"old school atlanta hip hop, hip hop, atl hip hop, dirty south rap, southern hip hop, rap, pop rap   ☷   ⓘ"
 SAMY,german hip hop   ☷   ⓘ
DJ Patrick Muniz,"funk viral, funk mandelao, funk carioca, funk mtg   ☷   ⓘ"
Becky Hill,"uk dance, pop house, pop dance, tropical house, dance pop, pop, edm   ☷   ⓘ"
